# Species	Genes	Alg.-Conn.	E_billingiae_protein.faa	E_gerundensis_protein.faa	E_persicina_protein.faa	E_pyrifoliae_protein.faa	E_tasmaniensis_protein.faa
5	6	0.151	WP_013200631.1,WP_013200449.1	WP_225701751.1	WP_222681749.1	WP_104945139.1	WP_012440384.1
3	3	0.228	WP_013202842.1	WP_225701532.1	WP_062742679.1	*	*
2	3	0.327	WP_013200158.1,WP_013201135.1	*	*	*	WP_012440335.1
2	3	0.331	WP_013201726.1,WP_013202666.1	*	WP_222681549.1	*	*
5	6	0.1	WP_013203238.1	WP_067435880.1	WP_062746362.1,WP_062745162.1	WP_012667840.1	WP_042958829.1
2	3	0.331	WP_013199864.1,WP_013199903.1	*	*	*	WP_012440151.1
2	3	0.327	WP_013202779.1	*	*	*	WP_012439769.1,WP_012443493.1
5	6	0.159	WP_013200626.1,WP_013201859.1	WP_187488568.1	WP_062743541.1	WP_012666991.1	WP_012440377.1
5	6	0.17	WP_041692207.1,WP_013201860.1	WP_067430100.1	WP_062743540.1	WP_012666990.1	WP_012440376.1
3	4	0.21	WP_013200135.1,WP_013201110.1	*	WP_118664030.1	*	WP_012440311.1
2	3	0.33	*	*	WP_062745148.1	*	WP_012440162.1,WP_068794414.1
2	3	0.333	*	*	WP_062746002.1	WP_012667759.1,WP_012669340.1	*
5	6	0.122	WP_081461053.1	WP_067436792.1	WP_062743646.1,WP_118665914.1	WP_012668177.1	WP_012441517.1
5	6	0.117	WP_013200943.1	WP_225700841.1,WP_225701146.1	WP_062746633.1	WP_012668608.1	WP_012441912.1
4	4	0.0493	WP_013200405.1	WP_225702081.1	WP_062748076.1	*	WP_231853295.1
3	3	0.227	*	WP_225701065.1	WP_062745156.1	*	WP_042959128.1
2	3	0.328	WP_013200159.1,WP_013201136.1	*	*	*	WP_231853298.1
2	3	0.329	WP_013201812.1	WP_067431637.1,WP_187488429.1	*	*	*
3	3	0.33	WP_013201798.1	*	WP_137269213.1	*	WP_231853345.1
3	3	0.274	WP_049789584.1	WP_067428304.1	*	WP_081441626.1	*
3	3	0.287	WP_013204497.1	WP_225702042.1	WP_193556633.1	*	*
3	3	0.0448	WP_013201868.1	*	WP_222681510.1	*	WP_042958469.1
4	4	0.0619	WP_013203535.1	WP_225701954.1	WP_062745991.1	*	WP_012440241.1
3	3	0.044	*	WP_225701719.1	*	WP_012667124.1	WP_012440540.1
4	4	0.243	WP_167738402.1	WP_067429482.1	WP_162900974.1	WP_014539087.1	*
2	3	0.332	*	*	*	WP_015899067.1,WP_187298263.1	WP_049778768.1
2	3	0.333	WP_013199802.1	*	*	WP_012666835.1,WP_104945015.1	*
2	3	0.333	*	*	WP_062749535.1,WP_191934833.1	WP_012666770.1	*
4	4	0.115	*	WP_225702068.1	WP_062747357.1	WP_014539535.1	WP_042959174.1
3	3	0.333	WP_013203282.1	*	WP_062744920.1	WP_012667491.1	*
2	3	0.333	WP_013203965.1,WP_013204450.1	*	WP_222681915.1	*	*
2	3	0.33	WP_013203966.1,WP_013204451.1	*	WP_222681914.1	*	*
2	3	0.326	*	*	*	WP_012666399.1,WP_012667511.1	WP_042958502.1
2	3	0.326	WP_013204435.1	WP_225702101.1,WP_225702155.1	*	*	*
3	3	0.167	WP_013204283.1	WP_225700743.1	WP_118665252.1	*	*
3	4	0.161	WP_013201141.1	*	WP_222682228.1,WP_222681710.1	*	WP_012440342.1
2	3	0.322	*	WP_067430923.1	WP_137269381.1,WP_222682275.1	*	*
2	3	0.333	WP_071822120.1,WP_071822121.1	*	WP_118665718.1	*	*
2	3	0.327	*	*	*	WP_012668285.1	WP_012442392.1,WP_042959318.1
2	3	0.333	*	*	*	WP_012668286.1	WP_012442393.1,WP_042958939.1
2	3	0.326	*	*	*	WP_012668287.1	WP_012441630.1,WP_012442394.1
3	3	0.0544	WP_013202982.1	*	WP_222681495.1	*	WP_012441529.1
3	3	0.0628	WP_013204155.1	WP_222938542.1	WP_062747562.1	*	*
3	3	0.192	WP_013201758.1	WP_209502798.1	WP_191927475.1	*	*
4	4	0.161	WP_225309852.1	WP_067430940.1	WP_062746071.1	*	WP_012440253.1
3	3	0.123	*	*	WP_062745511.1	WP_012669100.1	WP_012442447.1
2	3	0.332	*	*	*	WP_012668626.1,WP_012668628.1	WP_012442898.1
2	3	0.333	*	*	*	WP_012668625.1,WP_012668627.1	WP_012442899.1
3	3	0.214	WP_013203502.1	WP_187485957.1	WP_222681887.1	*	*
5	6	0.162	WP_071822128.1	WP_067427748.1	WP_062745986.1,WP_062742630.1	WP_012669343.1	WP_012440239.1
3	3	0.166	WP_013202239.1	WP_067432165.1	WP_062742848.1	*	*
3	3	0.325	WP_013200565.1	*	WP_187509833.1	WP_012667959.1	*
5	6	0.202	WP_013203625.1	WP_067433393.1	WP_062745981.1,WP_174522415.1	WP_012669345.1	WP_012440237.1
3	3	0.221	WP_013203360.1	WP_225701949.1	WP_222681946.1	*	*
2	3	0.327	*	*	WP_062745992.1,WP_187509892.1	*	WP_012440595.1
2	3	0.333	WP_013201813.1	WP_225701910.1,WP_225702084.1	*	*	*
3	3	0.296	WP_013203923.1	*	WP_222681628.1	WP_012667390.1	*
3	6	0.454	WP_013203822.1	*	*	WP_012667205.1,WP_104945005.1,WP_187298256.1	WP_012442698.1,WP_012440614.1
3	4	0.196	WP_071822138.1	*	WP_187509040.1,WP_062745465.1	*	WP_012440340.1
3	4	0.163	WP_013201139.1	*	WP_222682230.1,WP_062745467.1	*	WP_012440339.1
2	3	0.333	*	*	*	WP_014539003.1	WP_012441633.1,WP_042959102.1
3	3	0.211	WP_013202800.1	WP_187485958.1	WP_222682109.1	*	*
3	3	0.277	WP_013202346.1	WP_225701991.1	WP_222682015.1	*	*
2	3	0.333	WP_010260801.1,WP_013204429.1	*	WP_062742739.1	*	*
5	6	0.133	WP_013200620.1,WP_013200444.1	WP_222938646.1	WP_062747985.1	WP_012666982.1	WP_012440367.1
3	4	0.238	WP_013202001.1,WP_013202000.1	WP_067430723.1	WP_062748813.1	*	*
3	4	0.15	WP_013201138.1	*	WP_222682231.1,WP_062745469.1	*	WP_012440338.1
4	5	0.164	WP_013201106.1	*	WP_118664770.1,WP_222682254.1	WP_012666952.1	WP_012440306.1
5	5	0.125	WP_013202693.1	WP_225701567.1	WP_062742562.1	WP_012667806.1	WP_071819171.1
5	5	0.0362	WP_013199968.1	WP_067437212.1	WP_062749063.1	WP_011078071.1	WP_012443247.1
4	5	0.151	WP_013202315.1,WP_013202786.1	WP_209502769.1	WP_062743659.1	*	WP_042959323.1
5	5	0.0301	WP_013201440.1	WP_225701828.1	WP_118664384.1	WP_012668633.1	WP_012441938.1
5	5	0.073	WP_013204114.1	WP_067429828.1	WP_062749328.1	WP_014539642.1	WP_012442829.1
5	5	0.0744	WP_049789622.1	WP_225701414.1	WP_118664486.1	WP_012668798.1	WP_012442106.1
5	5	0.106	WP_013202505.1	WP_069729379.1	WP_062746246.1	WP_014539901.1	WP_042959216.1
4	5	0.137	WP_013202512.1,WP_041691858.1	WP_067431417.1	WP_191927364.1	*	WP_012440985.1
3	5	0.315	WP_013203823.1	*	*	WP_012667204.1,WP_012667456.1,WP_012669369.1	WP_012440613.1
5	5	0.0477	WP_049789581.1	WP_225701103.1	WP_137269059.1	WP_012667114.1	WP_012440530.1
5	5	0.0808	WP_013203106.1	WP_209501631.1	WP_222682257.1	WP_012667895.1	WP_042958847.1
5	6	0.101	WP_013202844.1,WP_013202832.1	WP_225701548.1	WP_187510151.1	WP_012667779.1	WP_012441125.1
5	6	0.124	WP_013203109.1,WP_013202353.1	WP_225701694.1	WP_222682085.1	WP_104945096.1	WP_012440933.1
5	6	0.121	WP_013202313.1,WP_013202784.1	WP_067435925.1	WP_062743590.1	WP_012668305.1	WP_012441647.1
5	6	0.152	WP_013203995.1	WP_067427746.1	WP_062745984.1,WP_222682190.1	WP_012669344.1	WP_012440238.1
5	6	0.145	WP_013200372.1,WP_013199784.1	WP_067434207.1	WP_062748286.1	WP_014539584.1	WP_012442781.1
5	6	0.209	WP_013202125.1	WP_187486288.1	WP_137269351.1	WP_104945009.1	WP_012439827.1,WP_012440265.1
5	6	0.112	WP_013202536.1	WP_225701913.1,WP_225701865.1	WP_222681966.1	WP_012669164.1	WP_012442487.1
5	6	0.139	WP_013201963.1	WP_067436789.1	WP_062743440.1,WP_062748211.1	WP_012668176.1	WP_012441516.1
5	6	0.127	WP_013202699.1	WP_225701563.1	WP_222682207.1	WP_012667801.1,WP_012669246.1	WP_012441154.1
5	6	0.127	WP_013202655.1	WP_173645394.1	WP_062742555.1	WP_012667813.1,WP_012667304.1	WP_012441164.1
5	6	0.25	WP_041691987.1,WP_041692204.1	WP_082691684.1	WP_118664249.1	WP_012666974.1	WP_042959253.1
4	5	0.332	WP_013202344.1,WP_013199739.1	WP_067428589.1	WP_062743049.1	WP_014538915.1	*
5	5	0.329	WP_041691855.1	WP_067434601.1	WP_222681790.1	WP_012666583.1	WP_071819153.1
5	5	0.21	WP_041692112.1	WP_225701380.1	WP_062744287.1	WP_014539414.1	WP_042959116.1
5	5	0.197	WP_013203776.1	WP_225702150.1	WP_222681502.1	WP_012668219.1	WP_012441562.1
5	6	0.28	WP_013202664.1,WP_013201728.1	WP_225700951.1	WP_062743684.1	WP_012668398.1	WP_012441705.1
5	6	0.338	WP_013200442.1,WP_013202564.1	WP_187486091.1	WP_062743617.1	WP_012667839.1	WP_012441192.1
3	4	0.301	WP_041691779.1	WP_225702163.1	*	WP_012669262.1,WP_012669402.1	*
3	4	0.336	WP_013199764.1	WP_225702172.1	*	WP_012669260.1,WP_012669401.1	*
3	4	0.288	WP_013199841.1,WP_013202128.1	*	*	WP_012668133.1	WP_012441469.1
3	4	0.284	WP_013199755.1	WP_225702156.1	*	*	WP_012439747.1,WP_012439755.1
4	4	0.109	*	WP_225701745.1	WP_191927424.1	WP_012667786.1	WP_042958809.1
4	4	0.123	*	WP_225702088.1	WP_222681988.1	WP_014539833.1	WP_012443018.1
3	4	0.465	WP_082267203.1	*	*	WP_004163493.1,WP_049779068.1	WP_071819206.1
4	4	0.367	WP_013203796.1	*	WP_062744373.1	WP_104945155.1	WP_012440168.1
3	4	0.339	WP_013200682.1	WP_225702049.1	WP_118665254.1,WP_118665260.1	*	*
3	4	0.262	WP_013199797.1	WP_225702119.1	*	WP_012669241.1,WP_104945150.1	*
3	4	0.339	WP_013201467.1	WP_225701145.1,WP_225701942.1	WP_245006687.1	*	*
3	4	0.38	WP_013201137.1	*	WP_118664754.1,WP_222682232.1	*	WP_012440337.1
5	6	0.423	WP_013202553.1	WP_209501914.1,WP_067431511.1	WP_062746336.1	WP_012667849.1	WP_012441204.1
5	6	0.432	WP_013200940.1,WP_010260804.1	WP_187487108.1	WP_062747912.1	WP_012668959.1	WP_012442299.1
5	10	0.737	WP_013200290.1,WP_013204139.1	WP_067427337.1,WP_187488813.1	WP_118665375.1,WP_222681782.1	WP_012666622.1,WP_015899096.1	WP_012439918.1,WP_012442846.1
5	8	0.695	WP_013201040.1	WP_067428423.1	WP_118664533.1,WP_118664534.1	WP_012668877.1,WP_012668879.1	WP_012442218.1,WP_012442220.1
5	5	0.423	WP_013204406.1	WP_067434738.1	WP_222681836.1	WP_015899181.1	WP_012443063.1
5	5	0.403	WP_013204422.1	WP_071852484.1	WP_118663361.1	WP_012669039.1	WP_012442378.1
5	5	0.215	WP_157868028.1	WP_225701490.1	WP_222682099.1	WP_012667630.1	WP_012442618.1
5	5	0.445	WP_013201900.1	WP_225700704.1	WP_222681503.1	WP_012668231.1	WP_012441573.1
5	5	0.35	WP_013204237.1	WP_187487128.1	WP_062747695.1	WP_014539746.1	WP_042959198.1
5	5	0.209	WP_013200723.1	WP_067434568.1	WP_062747465.1	WP_012667063.1	WP_012440468.1
4	5	0.316	WP_013200359.1	WP_067434212.1	WP_062748311.1	WP_015899068.1,WP_226060685.1	*
5	5	0.578	WP_013201969.1	WP_225701713.1	WP_222681490.1	WP_104945071.1	WP_012441511.1
5	6	0.383	WP_013200706.1	WP_225701149.1,WP_225701813.1	WP_062747441.1	WP_012667053.1	WP_012440456.1
5	6	0.385	WP_013203993.1	WP_225701421.1,WP_225701984.1	WP_118665426.1	WP_012668030.1	WP_012441393.1
5	6	0.554	WP_013202040.1	WP_067430769.1	WP_222681474.1	WP_012668102.1	WP_012439761.1,WP_012441430.1
3	3	0.609	WP_013203244.1	*	WP_222681748.1	*	WP_012440373.1
3	3	0.631	WP_013201127.1	*	WP_222682239.1	*	WP_012440329.1
3	3	0.694	WP_049789644.1	*	WP_222682227.1	*	WP_012440343.1
3	3	0.958	WP_013203992.1	*	WP_191927572.1	WP_104945158.1	*
3	3	0.967	*	*	WP_062744214.1	WP_012669072.1	WP_012442417.1
3	3	0.798	WP_013201119.1	*	WP_222682246.1	*	WP_012440321.1
3	3	0.665	WP_013201123.1	*	WP_222682242.1	*	WP_012440325.1
3	3	0.97	WP_013201111.1	*	WP_118664029.1	*	WP_012440312.1
4	4	0.84	WP_013200922.1	*	WP_062747932.1	WP_104945028.1	WP_049778782.1
3	3	0.747	WP_013201128.1	*	WP_222682238.1	*	WP_012440330.1
3	3	0.259	WP_013201114.1	*	WP_222682311.1	*	WP_012440313.1
4	4	0.964	WP_013203030.1	*	WP_062742902.1	WP_104945086.1	WP_012441005.1
2	2	1	*	*	WP_118663870.1	WP_041473953.1	*
3	3	0.645	WP_173363023.1	*	WP_062747245.1	*	WP_012440553.1
4	4	0.927	WP_013201050.1	*	WP_240043759.1	WP_041474132.1	WP_012442210.1
2	2	1	*	*	WP_062747253.1	*	WP_012440552.1
3	3	0.767	WP_013201117.1	*	WP_222682248.1	*	WP_012440319.1
4	4	0.909	WP_013200954.1	*	WP_167550588.1	WP_041474032.1	WP_012442295.1
3	3	0.955	*	*	WP_062746380.1	WP_041473991.1	WP_193345528.1
3	3	0.849	WP_013201120.1	*	WP_222682245.1	*	WP_012440322.1
4	4	0.924	WP_013202949.1	*	WP_062742823.1	WP_104945084.1	WP_012441070.1
2	2	1	*	*	WP_222681659.1	WP_041474031.1	*
3	3	0.732	WP_013201118.1	*	WP_222682247.1	*	WP_012440320.1
4	4	0.942	WP_041691927.1	*	WP_062745046.1	WP_041474028.1	WP_012442181.1
3	3	0.561	WP_013201121.1	*	WP_222682244.1	*	WP_012440323.1
3	3	0.677	WP_013199759.1	WP_225702158.1	*	WP_012669251.1	*
3	3	0.892	WP_013200617.1	*	*	WP_012666979.1	WP_042958634.1
3	3	0.968	WP_013200616.1	*	*	WP_012666978.1	WP_012440363.1
2	2	1	WP_013204427.1	*	*	WP_012668357.1	*
2	2	1	WP_013200022.1	*	*	WP_012668375.1	*
2	2	1	WP_013200570.1	*	*	WP_012668425.1	*
2	2	1	WP_013200166.1	*	*	WP_012668492.1	*
3	3	0.449	WP_041691959.1	*	*	WP_012668810.1	WP_012440746.1
2	2	1	WP_041691983.1	*	*	WP_012669139.1	*
3	3	0.556	WP_041691935.1	*	*	WP_012669224.1	WP_012442540.1
3	3	0.989	WP_013200615.1	*	*	WP_012666977.1	WP_012440362.1
3	3	0.513	WP_013199757.1	WP_225702157.1	*	WP_012669249.1	*
3	3	0.872	WP_134824893.1	*	*	WP_012668248.1	WP_012441590.1
3	3	0.84	WP_013200613.1	*	*	WP_012666975.1	WP_042958632.1
3	3	0.725	WP_013199760.1	WP_225702159.1	*	WP_012669252.1	*
3	3	0.642	WP_013199761.1	WP_225702160.1	*	WP_012669253.1	*
3	3	0.46	WP_231853649.1	WP_225702162.1	*	WP_012669259.1	*
3	3	0.645	WP_013199767.1	WP_225702173.1	*	WP_012669263.1	*
3	3	0.717	WP_013199768.1	WP_067437299.1	*	WP_012669264.1	*
3	3	0.557	WP_013199769.1	WP_067437301.1	*	WP_012669265.1	*
3	3	0.342	WP_013199770.1	WP_225702164.1	*	WP_012669266.1	*
2	2	1	WP_013204426.1	*	*	WP_012669269.1	*
2	2	1	WP_013200040.1	*	*	WP_012666958.1	*
3	3	0.286	WP_013199890.1	*	*	WP_012667763.1	WP_012441114.1
3	3	0.917	WP_013200825.1	WP_067428061.1	*	WP_012667201.1	*
3	3	0.861	WP_013200648.1	*	*	WP_012667023.1	WP_012440418.1
2	2	1	WP_013203910.1	*	*	WP_012667382.1	*
3	3	0.912	WP_013203386.1	WP_067432852.1	*	WP_012667402.1	*
3	3	0.897	WP_013200628.1	*	*	WP_012666993.1	WP_012440379.1
3	3	0.962	WP_013203385.1	WP_187485583.1	*	WP_012667403.1	*
3	3	0.73	WP_013200005.1	*	*	WP_012667519.1	WP_012440876.1
3	3	0.816	WP_231853653.1	*	*	WP_012667520.1	WP_012440875.1
3	3	0.823	WP_013200627.1	*	*	WP_012666992.1	WP_012440378.1
3	3	0.969	WP_013202934.1	*	*	WP_012667731.1	WP_012441086.1
2	2	1	WP_013199752.1	*	*	WP_012667752.1	*
3	3	0.874	WP_013201126.1	*	*	WP_012666957.1	WP_012440328.1
3	3	0.96	WP_013202629.1	*	*	WP_012667831.1	WP_012441185.1
2	2	1	WP_013203526.1	*	*	WP_012667836.1	*
2	2	1	WP_013203525.1	*	*	WP_012667837.1	*
3	3	0.179	WP_013201506.1	WP_067429158.1	*	WP_012667897.1	*
3	3	0.987	WP_013200621.1	*	*	WP_012666984.1	WP_012440369.1
2	2	1	WP_013203207.1	*	*	WP_012668064.1	*
3	3	0.283	WP_041691881.1	*	*	WP_012668127.1	WP_042958903.1
3	3	0.73	WP_013202132.1	*	*	WP_012668132.1	WP_012441468.1
3	3	0.925	WP_013202235.1	*	*	WP_012668155.1	WP_012441496.1
3	3	0.933	WP_013200618.1	*	*	WP_012666980.1	WP_012440365.1
2	2	1	*	*	WP_191927162.1	*	WP_012440158.1
3	3	0.957	WP_013203112.1	*	*	WP_104945099.1	WP_012440930.1
2	2	1	WP_013202908.1	*	*	WP_104945128.1	*
3	3	0.89	WP_013200630.1	*	*	WP_104945141.1	WP_012440381.1
2	2	1	WP_013199722.1	*	*	WP_012666828.1	*
3	3	0.731	WP_013202223.1	*	*	WP_104945166.1	WP_012439926.1
2	2	1	WP_013201638.1	*	*	WP_104945189.1	*
3	3	0.759	WP_013200299.1	*	WP_062749146.1	*	WP_012439935.1
2	2	1	*	*	WP_157076011.1	*	WP_012440027.1
2	2	1	*	*	WP_240043752.1	*	WP_012440030.1
2	2	1	*	*	WP_062748870.1	*	WP_012440032.1
2	2	1	*	*	WP_222681828.1	*	WP_012440037.1
3	3	0.99	WP_013203111.1	*	*	WP_104945098.1	WP_012440931.1
3	3	0.48	WP_041691780.1	WP_187494076.1	*	WP_004168501.1	*
2	2	1	*	*	WP_118664504.1	*	WP_012440163.1
3	3	0.916	WP_041692416.1	*	WP_062745905.1	*	WP_012440221.1
3	3	0.992	*	*	WP_062744529.1	WP_244910216.1	WP_012440166.1
4	4	0.852	WP_231853678.1	*	WP_194715982.1	WP_226060745.1	WP_231853283.1
3	3	0.563	WP_013203766.1	*	WP_191927609.1	*	WP_012440246.1
2	2	1	*	*	WP_222681957.1	*	WP_012440250.1
2	2	1	*	*	WP_062746066.1	*	WP_012440251.1
3	3	0.946	WP_013201105.1	*	WP_222682226.1	*	WP_012440305.1
3	3	0.913	WP_013201108.1	*	WP_187509068.1	*	WP_012440308.1
4	4	0.704	WP_013204397.1	WP_225701236.1	WP_222681839.1	WP_015899178.1	*
3	3	0.947	WP_015056505.1	WP_064703432.1	*	WP_012669271.1	*
3	3	0.834	WP_013199783.1	WP_067437349.1	*	WP_012669272.1	*
2	2	1	WP_013199799.1	*	*	WP_012666837.1	*
3	3	0.677	WP_013199785.1	WP_225702110.1	*	WP_012669275.1	*
3	3	0.915	WP_013202571.1	*	*	WP_012669280.1	WP_012442114.1
2	2	1	WP_013202573.1	*	*	WP_012669282.1	*
3	3	0.712	WP_013199825.1	*	*	WP_012669403.1	WP_042958620.1
3	3	0.966	WP_013202516.1	*	*	WP_012669439.1	WP_012442725.1
2	2	1	WP_013199838.1	*	*	WP_012814634.1	*
3	3	0.704	WP_013204496.1	*	*	WP_014538807.1	WP_012442755.1
3	3	0.926	WP_071822100.1	*	WP_222682252.1	*	WP_012440309.1
3	3	0.479	WP_013203703.1	*	*	WP_014539790.1	WP_012442982.1
3	3	0.23	WP_013200408.1	*	*	WP_015899104.1	WP_012442912.1
2	2	1	WP_013202997.1	*	*	WP_041474006.1	*
3	3	0.714	WP_013199765.1	WP_187493937.1	*	WP_041474143.1	*
2	2	1	WP_013199801.1	*	*	WP_012666836.1	*
3	3	0.839	WP_013202577.1	*	*	WP_041474144.1	WP_012442112.1
3	3	0.84	WP_013200007.1	*	*	WP_049779070.1	WP_049778747.1
2	2	1	WP_049789673.1	*	*	WP_071819843.1	*
3	3	0.822	WP_013199807.1	WP_225702177.1	*	WP_104945010.1	*
3	3	0.981	WP_013203110.1	*	*	WP_104945097.1	WP_012440932.1
2	2	1	*	WP_067432516.1	WP_062742984.1	*	*
3	3	0.83	WP_013202503.1	WP_067431402.1	WP_062746242.1	*	*
3	3	0.975	WP_013202537.1	WP_067431466.1	WP_222682221.1	*	*
3	3	0.839	WP_013202538.1	WP_067431469.1	WP_062746308.1	*	*
3	3	0.62	WP_013204211.1	WP_067431472.1	WP_062747642.1	*	*
3	3	0.986	WP_013202688.1	WP_067431734.1	WP_062743707.1	*	*
3	3	0.961	WP_013202700.1	WP_067431771.1	WP_062742569.1	*	*
3	3	0.955	WP_013202231.1	WP_067431790.1	WP_062742637.1	*	*
3	3	0.994	WP_013202763.1	WP_067431824.1	WP_062742657.1	*	*
3	3	0.957	WP_013202764.1	WP_067431827.1	WP_062742658.1	*	*
3	3	0.981	WP_013202770.1	WP_067431848.1	WP_062742667.1	*	*
3	3	0.897	WP_013202772.1	WP_067431854.1	WP_062742669.1	*	*
3	3	0.922	WP_013202773.1	WP_067431857.1	WP_062742670.1	*	*
3	3	0.973	WP_013202978.1	WP_067432171.1	WP_062742850.1	*	*
2	2	1	*	WP_067432330.1	WP_062743577.1	*	*
3	3	0.991	WP_013203048.1	WP_067432354.1	WP_118663706.1	*	*
3	3	0.84	WP_013202500.1	WP_067431392.1	WP_222682258.1	*	*
2	2	1	*	WP_067432523.1	WP_062742986.1	*	*
3	3	0.809	WP_013203261.1	WP_067432648.1	WP_062743058.1	*	*
3	3	0.933	WP_013203332.1	WP_067432753.1	WP_062744831.1	*	*
3	3	0.963	WP_013203357.1	WP_067432797.1	WP_062744771.1	*	*
3	3	0.89	WP_013203365.1	WP_067432801.1	WP_062744767.1	*	*
3	3	0.822	WP_013201431.1	WP_067432840.1	WP_222682031.1	*	*
3	3	0.949	WP_013203448.1	WP_067433015.1	WP_062744575.1	*	*
3	3	0.975	WP_013203453.1	WP_067433049.1	WP_062744567.1	*	*
3	3	0.928	WP_013201376.1	WP_067433054.1	WP_222681609.1	*	*
3	3	0.932	WP_013203455.1	WP_067433056.1	WP_062744565.1	*	*
3	3	0.384	WP_013201869.1	WP_067433187.1	WP_062743532.1	*	*
3	3	0.897	WP_013203622.1	WP_067433384.1	WP_062744269.1	*	*
2	2	1	*	WP_067433409.1	WP_062744277.1	*	*
3	3	0.725	WP_013202270.1	WP_067433595.1	WP_062742781.1	*	*
